2023-04-18 10:54:22.728 [main] INFO  com.example.wechat.WeChatApplicationTests - Starting WeChatApplicationTests on jinfulai-pc with PID 19840 (started by admin in D:\project\work\test\WeChat\WeChat)
2023-04-18 10:54:22.729 [main] INFO  com.example.wechat.WeChatApplicationTests - No active profile set, falling back to default profiles: default
2023-04-18 10:54:22.733 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2023-04-18 10:54:24.132 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-18 10:54:24.438 [main] INFO  com.example.wechat.WeChatApplicationTests - Started WeChatApplicationTests in 1.875 seconds (JVM running for 2.455)
2023-04-18 10:54:24.602 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2023-04-18 10:59:56.142 [main] INFO  com.example.wechat.WeChatApplicationTests - Starting WeChatApplicationTests on jinfulai-pc with PID 21536 (started by admin in D:\project\work\test\WeChat\WeChat)
2023-04-18 10:59:56.143 [main] INFO  com.example.wechat.WeChatApplicationTests - No active profile set, falling back to default profiles: default
2023-04-18 10:59:56.147 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2023-04-18 10:59:57.512 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-18 10:59:57.843 [main] INFO  com.example.wechat.WeChatApplicationTests - Started WeChatApplicationTests in 1.872 seconds (JVM running for 2.604)
2023-04-18 10:59:58.005 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2023-04-18 11:11:43.192 [main] INFO  com.example.wechat.WeChatApplicationTests - Starting WeChatApplicationTests on jinfulai-pc with PID 28384 (started by admin in D:\project\work\test\WeChat\WeChat)
2023-04-18 11:11:43.194 [main] INFO  com.example.wechat.WeChatApplicationTests - No active profile set, falling back to default profiles: default
2023-04-18 11:11:43.204 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2023-04-18 11:11:44.782 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-18 11:11:45.147 [main] INFO  com.example.wechat.WeChatApplicationTests - Started WeChatApplicationTests in 2.158 seconds (JVM running for 2.881)
2023-04-18 11:11:45.342 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2023-04-18 11:13:10.075 [main] INFO  com.example.wechat.WeChatApplicationTests - Starting WeChatApplicationTests on jinfulai-pc with PID 24596 (started by admin in D:\project\work\test\WeChat\WeChat)
2023-04-18 11:13:10.076 [main] INFO  com.example.wechat.WeChatApplicationTests - No active profile set, falling back to default profiles: default
2023-04-18 11:13:10.079 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2023-04-18 11:13:11.427 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-18 11:13:11.715 [main] INFO  com.example.wechat.WeChatApplicationTests - Started WeChatApplicationTests in 1.808 seconds (JVM running for 2.385)
2023-04-18 11:13:11.861 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2023-04-18 14:05:36.781 [main] INFO  com.example.wechat.WeChatApplicationTests - Starting WeChatApplicationTests on jinfulai-pc with PID 22584 (started by admin in D:\project\work\test\WeChat\WeChat)
2023-04-18 14:05:36.782 [main] INFO  com.example.wechat.WeChatApplicationTests - No active profile set, falling back to default profiles: default
2023-04-18 14:05:36.787 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2023-04-18 14:05:38.357 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-18 14:05:38.683 [main] INFO  com.example.wechat.WeChatApplicationTests - Started WeChatApplicationTests in 2.071 seconds (JVM running for 2.679)
2023-04-18 14:05:38.868 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2023-04-18 14:54:54.192 [main] INFO  com.example.wechat.WeChatApplicationTests - Starting WeChatApplicationTests on jinfulai-pc with PID 27012 (started by admin in D:\project\work\test\WeChat\WeChat)
2023-04-18 14:54:54.193 [main] INFO  com.example.wechat.WeChatApplicationTests - No active profile set, falling back to default profiles: default
2023-04-18 14:54:54.201 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2023-04-18 14:54:55.716 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-18 14:54:56.068 [main] INFO  com.example.wechat.WeChatApplicationTests - Started WeChatApplicationTests in 2.095 seconds (JVM running for 2.736)
2023-04-18 14:54:56.280 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
